ID,Crop_Type,Growth_Stage,Soil_Moisture_pct,Temperature_C,Humidity_pct,Rainfall_7day_mm,Soil_pH,Solar_Radiation_MJm2,Water_Requirement_mm,Irrigate
962,Maize,Seedling,17.67,26.29,76.25,71.33,7.78,26.92,0.73,No
963,Soybean,Flowering,36.91,34.37,89.21,5.42,6.76,28.63,62.01,Yes
964,Sugarcane,Vegetative,27.38,40.81,33.95,77.8,6.07,26.29,63.69,Yes
965,Potato,Seedling,19.93,35.27,54.97,62.35,6.7,15.43,15.54,No
966,Cotton,Seedling,62.75,36.35,59.6,56.62,7.08,16.07,8.35,No
967,Cotton,Flowering,52.5,29.91,41.12,3.65,6.21,10.78,84.15,Yes
968,Maize,Flowering,62.4,16.39,93.7,79.16,6.13,12.32,12.01,No
969,Soybean,Flowering,29.47,40.55,87.46,21.12,5.9,27.97,60.55,Yes
970,Wheat,Flowering,23.16,41.06,41.49,77.73,7.11,29.58,46.36,Yes
971,Rice,Maturation,66.74,21.95,70.7,48.35,6.12,18.84,28.17,Yes
972,Tomato,Vegetative,36.76,34.7,58.2,11.87,6.94,19.92,61.2,Yes
973,Potato,Vegetative,58.94,19.75,67.03,75.47,6.04,15.64,0,No
974,Tomato,Vegetative,14.17,16.95,45.94,72.73,8.41,12.0,31.44,Yes
975,Maize,Seedling,46.2,25.2,31.35,66.12,7.79,22.89,0.1,No
976,Rice,Flowering,18.56,31.94,30.88,77.31,8.37,12.13,93.46,Yes
977,Soybean,Seedling,22.14,27.97,66.59,35.55,5.99,16.64,17.33,No
978,Sugarcane,Seedling,11.27,16.2,65.4,8.21,8.16,18.31,47.38,Yes
979,Wheat,Vegetative,11.44,26.53,39.58,52.43,6.18,27.58,25.83,Yes
980,Rice,Maturation,20.17,17.97,36.61,76.47,6.57,22.31,39.71,Yes
981,Rice,Flowering,65.4,39.84,88.21,48.36,6.03,20.61,82.63,Yes
982,Maize,Flowering,47.49,22.75,86.9,21.69,7.0,17.38,45.17,Yes
983,Sugarcane,Seedling,57.33,38.27,93.57,62.22,5.94,12.96,9.48,No
984,Potato,Seedling,16.79,26.54,77.24,11.57,6.47,12.55,32.91,Yes
985,Tomato,Flowering,29.16,26.44,75.07,33.12,7.88,16.67,62.07,Yes
986,Cotton,Maturation,35.12,28.42,64.7,42.6,7.96,17.69,26.54,Yes
987,Tomato,Vegetative,52.19,21.35,30.19,79.51,5.55,21.17,19.44,No
988,Wheat,Flowering,31.65,37.93,80.61,11.15,6.88,26.71,57.74,Yes
989,Tomato,Vegetative,22.64,21.06,78.55,9.38,7.59,12.86,51.83,Yes
990,Tomato,Flowering,13.25,17.86,67.8,38.15,7.28,13.16,54.14,Yes
991,Maize,Flowering,18.48,21.62,30.81,66.49,6.75,25.31,42.92,Yes
992,Sugarcane,Maturation,34.69,24.11,80.79,55.62,6.36,13.12,34.79,Yes
993,Wheat,Vegetative,40.2,15.29,84.12,54.39,8.13,21.08,5.56,No
994,Sugarcane,Vegetative,35.42,19.23,93.25,41.72,8.43,12.5,46.46,Yes
995,Cotton,Maturation,47.14,20.91,41.94,59.68,7.18,26.83,16.11,No
996,Soybean,Maturation,59.64,19.45,82.22,51.73,6.08,12.17,0,No
997,Rice,Flowering,46.19,37.86,31.82,22.58,7.12,11.31,109.62,Yes
998,Sugarcane,Vegetative,43.1,32.24,32.1,21.53,8.43,21.3,76.08,Yes
999,Potato,Seedling,12.88,17.52,50.06,78.44,7.76,29.17,0,No
1000,Tomato,Flowering,68.43,33.97,36.33,32.58,7.72,12.02,57.06,Yes
1001,Maize,Seedling,45.23,25.32,68.11,68.16,6.37,13.03,0,No
1002,Rice,Vegetative,63.06,36.8,72.52,61.51,5.98,29.27,55.02,Yes
1003,Soybean,Maturation,57.12,24.15,53.42,68.48,6.79,27.81,0,No
1004,Cotton,Seedling,67.48,30.31,94.64,7.79,5.54,25.33,16.23,No
1005,Sugarcane,Seedling,39.93,27.28,41.03,23.65,5.7,21.53,39.18,Yes
1006,Potato,Flowering,69.17,41.42,79.6,35.36,8.27,28.8,49.27,Yes
1007,Potato,Seedling,31.81,22.74,56.59,49.57,7.54,18.82,2.01,No
1008,Soybean,Flowering,15.01,26.16,59.26,70.19,8.47,10.85,36.61,Yes
1009,Wheat,Vegetative,51.98,30.14,40.05,8.42,6.63,21.4,40.4,Yes
1010,Potato,Seedling,30.94,27.65,64.78,65.46,5.83,13.61,0,No
1011,Rice,Maturation,56.09,20.39,51.37,25.38,8.49,19.73,45.47,Yes
1012,Sugarcane,Maturation,12.3,19.21,60.55,51.22,6.46,10.63,41.5,Yes
1013,Tomato,Seedling,66.19,24.76,57.96,37.87,5.66,27.36,7.05,No
1014,Sugarcane,Flowering,48.14,17.26,34.5,32.41,6.4,24.24,83.34,Yes
1015,Tomato,Vegetative,50.18,22.01,83.99,7.4,8.2,16.84,42.27,Yes
1016,Soybean,Maturation,38.9,29.46,80.95,77.25,6.81,28.25,0,No
1017,Tomato,Seedling,43.65,39.13,42.91,57.82,7.24,12.89,12.62,No
1018,Soybean,Seedling,19.03,27.38,39.59,69.14,5.84,29.4,0,No
1019,Tomato,Flowering,41.24,15.1,59.29,66.6,5.88,18.99,33.72,Yes
1020,Cotton,Vegetative,35.21,29.74,40.8,30.2,6.54,29.05,54.23,Yes
1021,Wheat,Flowering,58.83,15.44,88.28,40.17,8.1,23.99,13.03,No
1022,Tomato,Flowering,31.13,29.65,64.01,61.21,5.84,13.52,47.4,Yes
1023,Tomato,Flowering,20.61,31.06,65.28,30.53,8.04,23.77,68.29,Yes
1024,Rice,Seedling,58.36,17.8,72.23,49.3,6.73,19.93,11.35,No
1025,Rice,Maturation,40.2,36.76,73.4,68.14,6.14,25.54,39.85,Yes
1026,Potato,Seedling,31.04,36.43,60.16,72.64,7.43,25.69,4.91,No
1027,Tomato,Seedling,66.38,36.12,62.99,21.41,7.48,16.15,24.57,No
1028,Cotton,Seedling,64.01,26.19,31.01,12.27,6.62,26.33,20.79,No
1029,Soybean,Flowering,20.22,30.45,57.95,44.46,6.67,22.33,50.58,Yes
1030,Tomato,Vegetative,66.36,25.54,77.33,32.25,6.45,13.17,27.77,Yes
1031,Cotton,Seedling,52.6,18.41,37.69,46.15,6.68,25.24,9.91,No
1032,Maize,Flowering,22.23,17.52,58.43,50.31,7.28,10.56,40.85,Yes
1033,Rice,Maturation,11.52,34.82,93.92,50.76,7.83,13.73,55.56,Yes
1034,Cotton,Vegetative,53.58,36.79,54.58,20.84,5.66,11.66,53.65,Yes
1035,Maize,Seedling,48.3,30.64,36.72,36.73,7.29,12.14,14.03,No
1036,Rice,Seedling,39.65,24.76,84.49,31.26,6.97,10.44,36.88,Yes
1037,Rice,Maturation,67.55,17.06,74.68,30.02,6.44,28.17,34.1,Yes
1038,Wheat,Vegetative,49.58,32.04,85.56,9.38,6.53,16.94,32.51,Yes
1039,Wheat,Vegetative,41.3,21.87,37.9,48.49,7.11,20.36,17.19,No
1040,Soybean,Seedling,63.91,15.8,39.01,6.68,7.57,12.53,6.79,No
1041,Sugarcane,Maturation,21.95,17.48,76.03,52.15,6.9,26.18,30.05,Yes
1042,Cotton,Flowering,20.38,33.55,87.68,22.49,6.68,21.67,82.63,Yes
1043,Sugarcane,Vegetative,57.65,40.75,61.71,70.63,6.77,24.94,52.65,Yes
1044,Tomato,Maturation,21.98,24.53,88.36,65.55,6.85,27.79,9.97,No
1045,Sugarcane,Maturation,27.61,37.32,71.93,77.21,6.56,10.6,39.55,Yes
1046,Maize,Flowering,24.72,20.81,54.16,11.6,6.44,10.19,67.73,Yes
1047,Wheat,Flowering,22.83,30.32,50.9,18.61,5.7,15.67,58.18,Yes
1048,Sugarcane,Seedling,44.44,32.45,74.34,34.82,7.94,13.96,33.66,Yes
1049,Wheat,Maturation,39.92,41.74,57.38,9.93,6.01,16.54,37.94,Yes
1050,Sugarcane,Seedling,48.62,38.11,94.22,72.93,6.35,26.83,15.08,No
1051,Tomato,Seedling,63.75,39.79,32.54,51.58,5.71,11.9,14.22,No
1052,Sugarcane,Flowering,55.22,25.81,66.17,25.05,7.34,17.87,83.06,Yes
1053,Potato,Maturation,60.92,41.11,37.89,29.91,7.35,10.59,33.3,Yes
1054,Rice,Flowering,61.68,34.55,44.71,7.04,7.67,26.25,110.87,Yes
1055,Wheat,Seedling,25.58,36.19,37.2,75.77,5.73,16.59,0,No
1056,Sugarcane,Vegetative,65.49,30.75,37.79,25.55,5.94,21.68,62.39,Yes
1057,Tomato,Maturation,50.09,29.09,45.63,38.23,6.97,15.61,26.76,Yes
1058,Rice,Flowering,55.97,34.21,52.95,66.84,6.23,22.94,78.21,Yes
1059,Cotton,Seedling,14.51,28.35,43.81,53.64,6.9,17.7,20.76,No
1060,Soybean,Flowering,52.51,32.69,85.11,8.45,5.89,28.33,54.37,Yes
1061,Tomato,Maturation,62.07,28.86,80.7,15.04,6.33,13.28,25.51,Yes
1062,Rice,Vegetative,37.66,17.89,37.16,1.33,6.88,15.34,89.68,Yes
1063,Potato,Maturation,31.12,18.19,65.77,28.35,6.14,17.94,20.61,No
1064,Potato,Flowering,32.19,16.33,54.86,74.24,6.08,13.79,28.48,Yes
1065,Maize,Flowering,41.77,28.33,58.18,54.49,7.44,29.18,42.67,Yes
1066,Wheat,Flowering,24.33,29.37,47.9,70.61,7.6,18.09,31.75,Yes
1067,Tomato,Seedling,23.19,37.25,74.96,39.61,6.01,14.07,23.41,No
1068,Sugarcane,Seedling,15.65,28.59,75.53,38.14,6.42,28.13,34.66,Yes
1069,Cotton,Vegetative,28.91,16.88,42.18,71.99,5.93,10.25,22.95,No
1070,Maize,Flowering,62.88,19.61,79.42,0.78,6.56,19.48,51.16,Yes
1071,Wheat,Maturation,62.39,27.76,32.94,1.39,7.54,15.81,29.1,Yes
1072,Maize,Seedling,16.0,36.71,51.82,39.25,6.55,20.91,33.09,Yes
1073,Potato,Flowering,31.86,15.37,52.92,56.81,8.17,25.49,39.74,Yes
1074,Potato,Seedling,26.2,29.02,71.59,11.83,6.73,14.41,25.02,Yes
1075,Maize,Flowering,39.87,21.6,78.17,77.86,6.58,24.89,25.76,Yes
1076,Rice,Flowering,62.63,33.33,88.45,35.94,8.37,20.54,95.38,Yes
1077,Sugarcane,Flowering,63.28,25.56,57.12,79.52,6.43,10.82,55.58,Yes
1078,Rice,Maturation,57.72,30.3,81.51,27.76,5.83,10.17,47.7,Yes
1079,Maize,Maturation,50.86,29.13,48.84,44.65,5.99,19.74,20.61,No
1080,Potato,Seedling,23.04,37.29,38.02,39.07,5.52,17.05,30.37,Yes
1081,Wheat,Seedling,25.09,24.46,48.41,68.72,7.5,25.38,0,No
1082,Sugarcane,Vegetative,69.75,20.31,68.04,6.46,6.16,19.46,61.96,Yes
1083,Soybean,Vegetative,58.7,32.2,57.47,77.35,5.79,15.23,5.15,No
1084,Tomato,Flowering,58.26,18.76,79.9,20.0,6.75,13.99,51.17,Yes
1085,Sugarcane,Seedling,27.84,40.03,59.98,14.67,7.85,26.68,59.58,Yes
1086,Soybean,Flowering,38.1,26.55,57.33,32.82,5.58,21.18,49.07,Yes
1087,Tomato,Seedling,55.35,31.61,49.66,19.41,7.04,12.55,19.26,No
1088,Sugarcane,Seedling,55.32,25.6,56.19,0.48,7.92,27.5,40.64,Yes
1089,Potato,Seedling,15.08,22.29,94.1,8.56,7.28,26.44,23.19,No
1090,Wheat,Seedling,54.43,33.21,78.06,4.24,6.12,12.88,17.13,No
1091,Potato,Vegetative,23.41,33.24,85.4,24.07,6.43,29.78,51.84,Yes
1092,Cotton,Seedling,14.03,19.13,87.19,41.59,6.24,12.07,15.96,No
1093,Wheat,Maturation,33.44,40.0,49.5,38.7,6.05,14.7,30.19,Yes
1094,Potato,Seedling,35.94,32.18,42.01,65.48,7.47,13.42,4.42,No
1095,Cotton,Maturation,38.83,22.82,36.5,47.1,6.6,15.5,22.64,No
1096,Potato,Maturation,58.81,19.0,48.42,9.61,6.67,21.61,28.15,Yes
1097,Wheat,Maturation,12.56,39.49,92.58,37.43,7.67,15.54,33.77,Yes
1098,Cotton,Flowering,64.15,29.18,63.35,13.96,5.95,23.12,66.38,Yes
1099,Soybean,Maturation,52.91,36.24,48.09,61.01,6.41,17.88,14.84,No
1100,Tomato,Maturation,46.35,19.87,76.05,40.56,7.48,15.18,12.5,No
1101,Soybean,Flowering,45.07,37.41,34.39,2.36,7.7,14.63,69.77,Yes
1102,Potato,Flowering,55.59,41.5,82.56,58.61,6.21,28.0,38.73,Yes
1103,Maize,Maturation,55.35,26.34,34.18,48.95,5.84,26.94,18.9,No
1104,Wheat,Vegetative,29.27,33.87,54.55,79.11,7.22,13.99,15.9,No
1105,Sugarcane,Maturation,36.25,22.72,43.08,12.97,7.94,26.17,61.13,Yes
1106,Rice,Vegetative,11.99,18.8,30.34,61.95,7.2,27.29,69.42,Yes
1107,Soybean,Vegetative,50.94,40.86,77.34,42.25,6.07,14.15,32.24,Yes
1108,Soybean,Vegetative,58.1,26.85,70.66,69.92,7.21,12.54,0.56,No
1109,Sugarcane,Seedling,17.08,21.23,69.1,26.47,6.17,28.81,40.57,Yes
1110,Soybean,Seedling,62.35,19.26,48.72,42.75,6.22,20.36,0,No
1111,Sugarcane,Maturation,47.12,29.74,87.97,46.62,8.31,29.7,37.0,Yes
1112,Tomato,Flowering,22.03,38.98,33.86,16.34,7.95,16.59,87.49,Yes
1113,Wheat,Vegetative,39.61,36.75,66.65,48.8,8.01,26.15,24.51,No
1114,Tomato,Seedling,63.25,27.93,38.42,57.87,5.81,19.93,0.29,No
1115,Cotton,Flowering,35.89,23.19,85.24,77.72,5.56,11.11,38.86,Yes
1116,Tomato,Seedling,43.15,16.41,79.77,55.64,6.79,18.54,0,No
1117,Maize,Seedling,36.28,39.22,93.86,29.42,6.08,18.73,24.11,No
1118,Wheat,Vegetative,34.78,35.32,82.5,42.9,5.64,26.04,27.29,Yes
1119,Cotton,Seedling,14.6,18.42,41.74,3.5,6.55,23.1,40.98,Yes
1120,Tomato,Maturation,49.45,32.73,34.96,75.07,6.12,24.11,15.12,No
1121,Soybean,Vegetative,36.61,23.17,53.85,44.11,8.11,14.88,26.82,Yes
1122,Rice,Seedling,30.8,26.09,91.79,38.9,5.74,28.24,28.7,Yes
1123,Cotton,Flowering,54.51,20.69,54.21,65.31,5.93,29.56,38.08,Yes
1124,Potato,Seedling,11.28,37.58,47.57,47.06,6.4,29.3,24.77,No
1125,Wheat,Flowering,61.27,25.37,31.23,30.61,6.83,14.49,32.1,Yes
1126,Wheat,Flowering,11.88,35.6,90.92,72.8,7.76,16.72,36.22,Yes
1127,Sugarcane,Vegetative,55.44,24.21,83.9,34.73,6.78,24.58,53.15,Yes
1128,Rice,Maturation,67.15,40.18,48.68,79.27,7.1,18.48,30.32,Yes
1129,Sugarcane,Vegetative,67.62,27.62,94.52,19.06,8.22,15.61,56.35,Yes
1130,Cotton,Flowering,30.25,25.65,70.01,28.94,7.48,25.65,66.76,Yes
1131,Wheat,Seedling,28.41,32.84,84.34,67.81,6.83,10.35,0,No
1132,Soybean,Maturation,48.26,30.03,56.56,46.37,5.74,27.94,14.1,No
1133,Soybean,Seedling,36.43,21.97,81.14,20.76,6.98,14.55,14.23,No
1134,Wheat,Vegetative,16.87,16.04,74.49,68.85,7.24,10.84,11.89,No
1135,Cotton,Seedling,67.1,41.78,93.39,1.29,8.03,26.99,31.05,Yes
1136,Cotton,Flowering,16.55,28.69,37.36,6.2,6.11,21.41,92.9,Yes
1137,Tomato,Seedling,48.51,38.65,39.3,26.12,7.86,16.7,25.91,Yes
1138,Potato,Flowering,47.31,19.33,32.9,74.42,8.24,10.51,29.27,Yes
1139,Cotton,Flowering,40.65,36.08,63.03,46.52,6.53,14.3,65.76,Yes
1140,Maize,Maturation,55.76,32.53,92.09,76.69,8.48,21.31,0,No
1141,Tomato,Seedling,60.86,29.25,33.34,37.79,7.07,18.82,11.47,No
1142,Sugarcane,Vegetative,29.72,36.57,93.54,18.47,6.44,29.45,85.77,Yes
1143,Cotton,Maturation,53.97,38.77,53.52,28.16,7.02,28.29,37.99,Yes
1144,Potato,Maturation,23.79,37.35,94.14,74.06,6.23,28.19,10.85,No
1145,Maize,Flowering,57.75,24.22,37.67,32.68,7.02,12.97,40.59,Yes
1146,Cotton,Vegetative,62.58,15.42,37.85,21.07,7.16,28.6,37.32,Yes
1147,Rice,Vegetative,62.17,37.51,31.56,13.35,5.72,20.3,81.81,Yes
1148,Tomato,Flowering,17.65,33.82,45.69,23.47,6.51,26.49,79.86,Yes
1149,Soybean,Seedling,69.65,16.22,78.02,28.4,6.85,18.18,0,No
1150,Sugarcane,Maturation,52.01,34.8,77.04,47.16,7.96,20.19,42.67,Yes
1151,Maize,Seedling,45.61,24.99,72.21,30.35,6.82,20.17,3.6,No
1152,Rice,Vegetative,27.84,24.21,66.67,71.78,7.24,26.88,49.55,Yes
1153,Tomato,Flowering,29.37,23.6,41.6,11.46,7.94,24.69,76.22,Yes
1154,Sugarcane,Flowering,15.97,22.69,37.71,21.91,6.82,27.71,106.51,Yes
1155,Sugarcane,Flowering,69.33,35.34,90.09,53.31,5.92,14.14,74.53,Yes
1156,Wheat,Seedling,67.59,29.58,81.93,0.53,8.0,10.52,7.81,No
1157,Cotton,Flowering,66.51,30.42,77.59,41.67,7.99,15.9,54.38,Yes
1158,Rice,Maturation,63.33,28.32,35.65,10.95,6.34,23.37,62.49,Yes
1159,Soybean,Seedling,54.66,21.01,34.83,12.54,6.51,19.07,14.04,No
1160,Rice,Flowering,63.54,16.04,36.53,56.41,7.06,13.81,67.27,Yes
1161,Wheat,Seedling,24.75,30.83,86.69,17.62,6.09,19.4,19.03,No
1162,Potato,Flowering,17.91,32.14,35.77,41.3,7.67,14.28,65.22,Yes
1163,Tomato,Seedling,39.44,31.5,76.15,3.11,7.56,22.27,31.95,Yes
1164,Soybean,Maturation,41.83,40.77,87.06,67.26,8.13,23.36,8.59,No
1165,Potato,Maturation,45.87,29.67,49.2,17.51,8.39,27.94,34.53,Yes
1166,Potato,Flowering,24.84,26.47,41.45,76.51,7.48,16.95,36.15,Yes
1167,Tomato,Vegetative,56.42,28.06,82.31,39.13,6.74,14.7,28.06,Yes
1168,Tomato,Seedling,43.74,23.73,73.87,32.9,7.93,18.5,14.41,No
1169,Sugarcane,Seedling,26.1,34.66,52.09,65.48,6.43,18.2,27.11,Yes
1170,Cotton,Seedling,66.87,31.56,51.43,48.4,5.56,24.44,5.79,No
1171,Tomato,Seedling,56.83,24.0,52.93,61.28,5.69,10.98,0,No
1172,Maize,Maturation,61.58,21.19,82.08,72.85,6.49,14.31,0,No
1173,Cotton,Seedling,12.16,15.54,91.12,8.2,6.69,19.7,31.2,Yes
1174,Cotton,Vegetative,12.03,35.25,82.84,30.23,6.7,26.37,63.97,Yes
1175,Sugarcane,Seedling,14.59,28.62,75.73,58.61,5.56,24.85,21.9,No
1176,Rice,Maturation,21.66,31.35,50.29,25.9,7.04,10.47,67.18,Yes
1177,Sugarcane,Maturation,22.16,22.14,72.64,37.71,6.37,11.86,51.86,Yes
1178,Potato,Flowering,64.46,29.4,45.9,1.38,6.99,17.87,61.87,Yes
1179,Soybean,Seedling,37.14,30.6,31.62,61.7,6.84,19.54,7.04,No
1180,Maize,Seedling,15.72,19.57,86.21,39.18,6.25,12.83,12.48,No
1181,Potato,Vegetative,13.54,28.32,56.77,59.24,8.0,10.73,33.59,Yes
1182,Wheat,Flowering,51.42,35.39,81.66,43.65,6.44,23.04,29.41,Yes
1183,Soybean,Maturation,52.53,28.89,85.81,79.42,5.74,12.1,0,No
1184,Wheat,Vegetative,41.2,18.28,42.83,69.58,5.84,27.71,0.16,No
1185,Potato,Vegetative,47.57,29.16,39.09,69.94,6.75,10.19,26.8,Yes
1186,Sugarcane,Flowering,46.91,25.03,72.26,11.32,7.07,14.09,102.94,Yes
1187,Soybean,Flowering,38.33,20.69,51.46,59.74,8.49,28.56,32.07,Yes
1188,Potato,Seedling,29.06,19.84,60.58,79.46,5.52,24.03,0,No
1189,Cotton,Seedling,42.26,23.94,33.97,37.5,5.97,17.01,16.4,No
1190,Wheat,Vegetative,26.47,37.16,86.43,46.76,6.42,22.49,28.02,Yes
1191,Tomato,Flowering,43.67,32.32,43.17,47.41,5.81,14.33,58.89,Yes
1192,Maize,Maturation,29.81,35.84,68.49,22.18,7.92,27.43,43.86,Yes
1193,Potato,Vegetative,20.09,36.15,94.29,7.31,7.91,12.93,62.2,Yes
1194,Soybean,Seedling,63.76,16.41,63.26,35.18,7.49,16.54,0,No
1195,Rice,Vegetative,43.61,25.19,55.06,37.96,6.44,20.44,60.37,Yes
1196,Cotton,Vegetative,66.73,37.51,76.24,67.19,7.18,19.8,23.09,No
1197,Sugarcane,Seedling,43.47,26.76,52.63,2.02,6.6,19.32,44.78,Yes
1198,Cotton,Vegetative,32.95,19.83,78.6,0.85,6.83,20.52,52.22,Yes
1199,Wheat,Flowering,29.71,39.6,89.53,40.22,5.54,15.46,43.17,Yes
1200,Tomato,Seedling,69.74,34.02,47.82,4.58,7.22,10.61,23.42,No
1201,Potato,Maturation,39.42,27.78,86.87,60.05,7.92,10.76,14.66,No
1202,Maize,Vegetative,62.25,18.55,57.27,67.66,5.67,22.75,4.67,No
1203,Wheat,Flowering,15.85,29.69,93.92,15.53,7.34,10.33,58.1,Yes
1204,Soybean,Vegetative,64.34,30.84,91.38,41.31,8.32,18.06,10.6,No
1205,Wheat,Seedling,21.58,35.55,39.59,21.33,6.02,10.89,27.65,Yes
1206,Tomato,Vegetative,48.12,37.74,91.17,24.89,7.18,12.35,42.93,Yes
1207,Potato,Seedling,43.97,27.5,37.56,7.24,7.69,13.71,22.61,No
1208,Maize,Seedling,23.05,25.11,35.28,57.94,6.24,26.75,6.38,No
1209,Cotton,Vegetative,28.63,25.24,48.66,22.32,7.2,18.28,57.5,Yes
1210,Cotton,Vegetative,68.76,22.0,58.57,7.39,6.57,17.27,41.56,Yes
1211,Potato,Vegetative,12.2,37.54,55.07,43.04,6.13,24.04,48.24,Yes
1212,Sugarcane,Vegetative,30.53,41.15,65.85,59.45,6.31,20.27,71.6,Yes
1213,Cotton,Flowering,23.1,22.04,89.92,41.36,7.39,19.5,57.13,Yes
1214,Tomato,Seedling,29.34,17.82,53.33,72.08,5.98,19.51,0,No
1215,Soybean,Seedling,21.23,24.67,40.58,43.74,7.76,18.78,11.29,No
1216,Tomato,Maturation,38.41,21.58,77.02,48.08,6.95,18.02,12.61,No
1217,Wheat,Vegetative,55.79,39.32,62.95,33.68,7.82,29.08,28.27,Yes
1218,Maize,Flowering,63.2,41.06,91.29,15.88,8.42,25.04,58.86,Yes
1219,Maize,Flowering,57.31,16.45,35.88,63.43,5.92,16.92,22.99,No
1220,Maize,Vegetative,62.98,23.13,35.22,18.89,6.11,11.8,36.61,Yes
1221,Cotton,Vegetative,51.08,37.83,54.33,38.19,6.53,19.42,46.79,Yes
1222,Potato,Maturation,59.88,34.07,79.6,7.67,5.89,25.26,28.24,Yes
1223,Maize,Maturation,56.4,39.25,83.29,58.43,6.77,17.88,15.26,No
1224,Wheat,Vegetative,63.14,19.81,45.29,28.98,7.0,10.03,16.82,No
1225,Tomato,Seedling,48.73,18.73,42.22,16.9,6.81,16.79,15.92,No
1226,Sugarcane,Flowering,33.21,37.17,32.26,76.68,6.77,13.27,82.17,Yes
1227,Rice,Maturation,58.37,24.35,77.62,52.47,6.71,26.14,32.09,Yes
1228,Tomato,Maturation,10.7,32.65,73.56,33.8,5.66,18.5,44.24,Yes
1229,Rice,Maturation,40.12,36.09,76.28,67.53,8.42,12.23,41.98,Yes
1230,Tomato,Seedling,19.02,24.1,90.72,47.21,6.09,26.26,14.3,No
1231,Potato,Maturation,12.91,22.61,37.9,39.17,6.6,27.78,31.76,Yes
1232,Soybean,Flowering,56.01,15.64,47.37,23.46,6.75,18.94,35.16,Yes
1233,Sugarcane,Seedling,45.75,24.65,32.38,59.09,6.25,11.68,23.02,No
1234,Potato,Maturation,63.56,24.33,59.77,49.38,8.26,28.07,8.09,No
1235,Potato,Seedling,14.59,25.07,39.54,78.15,7.41,27.64,0,No
1236,Rice,Flowering,65.65,35.23,57.46,1.79,8.35,15.14,116.09,Yes
1237,Rice,Maturation,67.91,36.43,67.11,79.59,7.35,20.78,26.37,Yes
1238,Wheat,Flowering,44.4,20.81,90.81,21.98,7.57,13.71,29.33,Yes
1239,Wheat,Maturation,64.58,33.31,47.72,32.57,5.56,18.29,15.99,No
1240,Soybean,Seedling,23.28,15.49,51.1,5.1,6.36,24.24,25.59,Yes
1241,Potato,Maturation,48.09,23.88,55.29,74.39,5.54,16.81,0,No
1242,Potato,Maturation,22.64,33.84,73.74,20.46,5.6,27.05,44.4,Yes
1243,Rice,Maturation,43.68,24.32,43.49,78.79,6.61,15.84,27.27,Yes
1244,Wheat,Vegetative,47.49,19.5,52.86,34.52,8.49,10.47,21.54,No
1245,Sugarcane,Maturation,69.38,25.13,64.94,30.27,8.35,12.47,34.84,Yes
1246,Rice,Flowering,20.72,19.3,80.54,58.76,6.7,18.17,84.95,Yes
1247,Cotton,Maturation,64.03,22.53,80.08,50.42,7.49,23.74,5.33,No
1248,Tomato,Vegetative,61.54,28.36,60.15,66.09,6.85,28.48,13.84,No
1249,Maize,Maturation,27.3,29.38,51.71,37.12,6.02,28.15,28.02,Yes
1250,Tomato,Maturation,21.33,15.78,44.57,48.78,7.01,11.61,24.94,No
1251,Tomato,Seedling,29.5,21.75,67.0,37.75,5.77,17.41,13.4,No
1252,Tomato,Vegetative,61.02,19.36,53.99,69.97,6.03,28.74,2.78,No
1253,Cotton,Flowering,17.96,16.75,32.01,46.21,6.88,23.67,61.72,Yes
1254,Maize,Maturation,40.01,18.0,69.26,26.5,8.26,13.19,20.53,No
1255,Potato,Seedling,10.41,15.87,74.0,69.37,8.49,27.24,0,No
1256,Sugarcane,Seedling,52.95,31.39,94.3,57.18,6.82,26.56,14.53,No
1257,Wheat,Flowering,58.7,37.36,77.13,3.19,6.7,28.55,50.52,Yes
1258,Rice,Seedling,18.76,22.09,83.64,60.29,5.84,13.38,20.13,No
1259,Tomato,Flowering,18.52,21.56,61.37,21.16,6.49,23.87,64.5,Yes
1260,Cotton,Flowering,30.55,33.61,51.49,36.03,6.27,15.51,75.65,Yes
1261,Wheat,Vegetative,18.88,22.79,44.37,29.67,6.59,15.82,36.85,Yes
1262,Sugarcane,Maturation,52.78,33.18,40.04,64.42,5.89,22.15,35.62,Yes
1263,Tomato,Flowering,48.21,15.76,43.76,24.24,7.25,15.19,52.74,Yes
1264,Tomato,Maturation,47.11,19.6,52.37,12.47,8.06,16.29,26.86,Yes
1265,Soybean,Maturation,61.92,28.1,40.99,42.02,6.03,27.94,18.79,No
1266,Soybean,Vegetative,28.56,21.06,48.09,62.24,7.87,23.0,18.74,No
1267,Soybean,Maturation,37.56,39.64,88.91,67.2,8.04,25.66,8.62,No
1268,Cotton,Flowering,49.85,25.76,36.42,26.36,5.7,21.07,67.2,Yes
1269,Rice,Seedling,36.8,29.12,45.9,63.78,6.05,28.73,26.15,Yes
1270,Potato,Vegetative,12.41,31.45,65.88,7.31,6.07,26.61,60.97,Yes
1271,Rice,Vegetative,41.35,16.64,44.79,46.85,7.24,19.29,52.54,Yes
1272,Soybean,Seedling,21.79,18.14,35.42,15.79,7.13,14.3,22.38,No
1273,Potato,Flowering,44.16,30.71,85.97,8.92,8.16,25.55,63.89,Yes
1274,Potato,Seedling,25.1,25.99,47.6,50.49,6.49,19.67,17.47,No
1275,Sugarcane,Flowering,25.85,29.37,52.17,54.23,7.01,22.52,93.57,Yes
1276,Maize,Maturation,10.39,39.12,63.12,39.66,6.04,25.21,46.09,Yes
